PLAYER,UHC,TEAM,COMMENT,,,,,,,
St33n3r,34,BC,,,,,,,,
brassline,34,BC,,,,,,,,
YungSpesh,34,BC,,,,,,,,
Meyeravi,34,BC,,,,,,,,
Meyeravi,35,BC,,,,,,,,
1ottsco,35,Beast,,,,,,,,
YungSpesh,35,BC,,,,,,,,
xcatieladyx,35,BC,,,,,,,,
Dunkersplatt,35,BC,,,,,,,,
Inspyur,35,BC,,,,,,,,
Shananalovesdem,35,Uconn,,,,,,,,
ZenStryk,35,Uconn,,,,,,,,
DemonicFish,35,Beast,,,,,,,,
XmasGoose,35,Beast,,,,,,,,
Wolfzx99,35,Evil,,,,,,,,
ToaNuparu,35,Evil,,,,,,,,
IntenseYogurt,35,Evil,,,,,,,,
seanm105,35,Evil,,,,,,,,
belundun,35,Uconn,,,,,,,,
mrdagger17,35,Evil,,,,,,,,
icedrake25,36,Uconn,,,,,,,,
xcatieladyx,36,BC,,,,,,,,
brassline,36,BC,,,,,,,,
XmasGoose,36,Beast,,,,,,,,
Koi_Pond,36,Uconn,,,,,,,,
Shananalovesdem,36,Uconn,,,,,,,,
belundun,36,Uconn,,,,,,,,
IntenseYogurt,36,Evil,,,,,,,,
Wolfzx99,36,Evil,,,,,,,,
mrdagger17,36,Evil,,,,,,,,
seanm105,36,Evil,,,,,,,,
Dunkersplatt,36,BC,,,,,,,,
St33n3r,36,BC,,,,,,,,
ToaNuparu,36,Beast,,,,,,,,
mikecherry,36,Beast,,,,,,,,
Koi_Pond,37,Uconn,,,,,,,,
Meyeravi,37,BC,,,,,,,,
ZenStryk,37,Uconn,,,,,,,,
Dunkersplatt,37,BC,,,,,,,,
belundun,37,Uconn,,,,,,,,
YungSpesh,37,BC,,,,,,,,
Shananalovesdem,37,Uconn,,,,,,,,
xcatieladyx,37,BC,,,,,,,,
brassline,37,Milk,,,,,,,,
icedrake25,37,Uconn,,,,,,,,
seanm105,37,Evil,,,,,,,,
ToaNuparu,37,Evil,,,,,,,,
St33n3r,37,Milk,,,,,,,,
IntenseYogurt,37,Evil,,,,,,,,
XmasGoose,37,Milk,,,,,,,,
Wolfzx99,37,Evil,,,,,,,,
mrdagger17,37,Evil,,,,,,,,
Wolfzx99,38,Evil,,,,,,,,
Tran_1230,38,Sean,,,,,,,,
seanm105,38,Sean,,,,,,,,
IntenseYogurt,38,Evil,,,,,,,,
ToaNuparu,38,Sean,,,,,,,,
XmasGoose,38,Milk,,,,,,,,
mrdagger17,38,Evil,,,,,,,,
Inspyur,38,BC,,,,,,,,
Dunkersplatt,38,BC,,,,,,,,
brassline,38,Milk,,,,,,,,
St33n3r,38,Milk,,,,,,,,
YungSpesh,38,BC,,,,,,,,
xcatieladyx,38,BC,,,,,,,,
belundun,39,Uconn,,,,,,,,
seanm105,39,Evil,,,,,,,,
ZenStryk,39,Uconn,,,,,,,,
IntenseYogurt,39,Evil,,,,,,,,
icedrake25,39,Uconn,,,,,,,,
Shananalovesdem,39,Uconn,,,,,,,,
Wolfzx99,39,Evil,,,,,,,,
mrdagger17,39,Evil,,,,,,,,
mikecherry,39,Beast,,,,,,,,
XmasGoose,39,Beast,,,,,,,,
St33n3r,39,BC,,,,,,,,
YungSpesh,39,BC,,,,,,,,
Dunkersplatt,39,BC,,,,,,,,
ToaNuparu,39,Beast,,,,,,,,
brassline,39,BC,,,,,,,,
Shananalovesdem,40,Uconn,,,,,,,,
DemonicFish,40,Evil,,,,,,,,
ToaNuparu,40,Evil,,,,,,,,
